Gene name,Conserved among nematodes,Conserved only in Caenorhabditis,Unique to C. elegans,"SET-25-dependent endo-siRNAs targets (Lev et al., 2017)","SET-32-dependent endo-siRNAs targets (Kalinava et al., 2018)"
WBGene00004474,1,NaN,NaN,NaN,NaN
WBGene00004475,1,NaN,NaN,NaN,NaN
WBGene00004476,1,NaN,NaN,NaN,NaN
WBGene00004477,1,NaN,NaN,NaN,NaN
WBGene00004478,1,NaN,NaN,NaN,NaN
WBGene00004479,1,NaN,NaN,NaN,NaN
WBGene00004480,1,NaN,NaN,NaN,NaN
WBGene00004481,1,NaN,NaN,NaN,NaN
WBGene00004482,1,NaN,NaN,NaN,NaN
WBGene00004483,1,NaN,NaN,NaN,NaN
WBGene00004484,1,NaN,NaN,NaN,NaN
WBGene00004485,1,NaN,NaN,NaN,NaN
WBGene00004486,1,NaN,NaN,NaN,NaN
WBGene00004487,1,NaN,NaN,NaN,NaN
WBGene00004488,1,NaN,NaN,NaN,NaN
WBGene00004489,1,NaN,NaN,NaN,NaN
WBGene00004490,1,NaN,NaN,NaN,NaN
WBGene00004491,1,NaN,NaN,NaN,NaN
WBGene00004492,1,NaN,NaN,NaN,NaN
WBGene00004493,1,NaN,NaN,NaN,NaN
WBGene00004494,1,NaN,NaN,NaN,NaN
WBGene00004495,1,NaN,NaN,NaN,NaN
WBGene00004496,1,NaN,NaN,NaN,NaN
WBGene00004497,1,NaN,NaN,NaN,NaN
WBGene00004498,1,NaN,NaN,NaN,NaN
WBGene00004499,1,NaN,NaN,NaN,NaN
WBGene00004501,1,NaN,NaN,NaN,NaN
WBGene00004502,1,NaN,NaN,NaN,NaN
WBGene00004503,1,NaN,NaN,NaN,NaN
WBGene00004504,1,NaN,NaN,NaN,NaN
WBGene00004505,1,NaN,NaN,NaN,NaN
WBGene00004506,1,NaN,NaN,NaN,NaN
WBGene00004507,1,NaN,NaN,NaN,NaN
WBGene00004508,1,NaN,NaN,NaN,NaN
WBGene00004509,1,NaN,NaN,NaN,NaN
WBGene00004510,1,NaN,NaN,NaN,NaN
WBGene00004679,1,NaN,NaN,NaN,NaN
WBGene00004680,1,NaN,NaN,NaN,NaN
WBGene00004681,NaN,1,NaN,NaN,NaN
WBGene00004684,NaN,1,NaN,NaN,NaN
WBGene00004698,1,NaN,NaN,NaN,NaN
WBGene00004699,1,NaN,NaN,NaN,NaN
WBGene00004700,1,NaN,NaN,NaN,NaN
WBGene00004701,1,NaN,NaN,NaN,NaN
WBGene00004702,1,NaN,NaN,NaN,NaN
WBGene00004703,1,NaN,NaN,NaN,NaN
WBGene00004704,1,NaN,NaN,NaN,NaN
WBGene00004705,1,NaN,NaN,NaN,NaN
WBGene00004706,1,NaN,NaN,NaN,NaN
WBGene00004721,1,NaN,NaN,NaN,NaN
WBGene00004723,1,NaN,NaN,NaN,NaN
WBGene00004726,NaN,1,NaN,NaN,NaN
WBGene00004729,1,NaN,NaN,NaN,NaN
WBGene00004732,1,NaN,NaN,NaN,NaN
WBGene00004735,1,NaN,NaN,NaN,NaN
WBGene00004736,1,NaN,NaN,NaN,NaN
WBGene00004737,1,NaN,NaN,NaN,NaN
WBGene00004738,1,NaN,NaN,NaN,NaN
WBGene00004740,1,NaN,NaN,NaN,NaN
WBGene00004743,1,NaN,NaN,NaN,NaN
WBGene00004744,1,NaN,NaN,NaN,NaN
WBGene00004745,1,NaN,NaN,NaN,NaN
WBGene00004746,NaN,1,NaN,NaN,NaN
WBGene00004747,NaN,1,NaN,NaN,NaN
WBGene00004749,1,NaN,NaN,NaN,NaN
WBGene00004750,NaN,1,NaN,NaN,NaN
WBGene00004751,NaN,1,NaN,NaN,NaN
WBGene00004752,1,NaN,NaN,NaN,NaN
WBGene00004753,1,NaN,NaN,NaN,NaN
WBGene00004754,1,NaN,NaN,NaN,NaN
WBGene00004755,1,NaN,NaN,NaN,NaN
WBGene00004756,1,NaN,NaN,NaN,NaN
WBGene00004758,1,NaN,NaN,NaN,NaN
WBGene00004759,1,NaN,NaN,NaN,NaN
WBGene00004760,1,NaN,NaN,NaN,NaN
WBGene00004762,1,NaN,NaN,NaN,NaN
WBGene00004764,1,NaN,NaN,NaN,NaN
WBGene00004765,NaN,1,NaN,NaN,NaN
WBGene00004766,1,NaN,NaN,NaN,NaN
WBGene00004767,1,NaN,NaN,NaN,NaN
WBGene00004768,1,NaN,NaN,NaN,NaN
WBGene00004769,1,NaN,NaN,NaN,NaN
WBGene00004771,1,NaN,NaN,NaN,NaN
WBGene00004773,1,NaN,NaN,NaN,NaN
WBGene00004774,1,NaN,NaN,NaN,NaN
WBGene00004775,1,NaN,NaN,NaN,NaN
WBGene00004779,1,NaN,NaN,NaN,NaN
WBGene00004781,1,NaN,NaN,NaN,NaN
WBGene00004782,1,NaN,NaN,NaN,NaN
WBGene00004783,NaN,1,NaN,NaN,NaN
WBGene00004787,1,NaN,NaN,NaN,NaN
WBGene00004788,1,NaN,NaN,NaN,NaN
WBGene00004793,1,NaN,NaN,NaN,NaN
WBGene00004795,1,NaN,NaN,NaN,NaN
WBGene00004796,NaN,1,NaN,NaN,NaN
WBGene00004798,1,NaN,NaN,NaN,NaN
WBGene00004800,1,NaN,NaN,NaN,NaN
WBGene00004802,1,NaN,NaN,NaN,NaN
WBGene00004803,1,NaN,NaN,NaN,NaN
WBGene00004804,1,NaN,NaN,NaN,NaN
WBGene00004806,1,NaN,NaN,NaN,NaN
WBGene00004807,1,NaN,NaN,NaN,NaN
WBGene00004808,1,NaN,NaN,NaN,NaN
WBGene00004813,1,NaN,NaN,NaN,NaN
WBGene00004814,1,NaN,NaN,NaN,NaN
WBGene00004815,1,NaN,NaN,NaN,NaN
WBGene00004816,1,NaN,NaN,NaN,NaN
WBGene00004818,1,NaN,NaN,NaN,NaN
WBGene00004820,1,NaN,NaN,NaN,NaN
WBGene00004821,1,NaN,NaN,NaN,NaN
WBGene00004822,1,NaN,NaN,NaN,NaN
WBGene00004823,1,NaN,NaN,NaN,NaN
WBGene00004824,1,NaN,NaN,NaN,NaN
WBGene00004825,NaN,1,NaN,NaN,NaN
WBGene00004826,1,NaN,NaN,NaN,NaN
WBGene00004827,NaN,1,NaN,NaN,NaN
WBGene00004829,1,NaN,NaN,NaN,NaN
WBGene00004830,1,NaN,NaN,NaN,NaN
WBGene00004831,1,NaN,NaN,NaN,NaN
WBGene00004854,1,NaN,NaN,NaN,NaN
WBGene00004855,1,NaN,NaN,NaN,NaN
WBGene00004856,1,NaN,NaN,NaN,NaN
WBGene00004859,1,NaN,NaN,NaN,NaN
WBGene00004860,1,NaN,NaN,NaN,NaN
WBGene00004862,1,NaN,NaN,NaN,NaN
WBGene00004873,1,NaN,NaN,NaN,NaN
WBGene00004874,1,NaN,NaN,NaN,NaN
WBGene00004875,1,NaN,NaN,NaN,NaN
WBGene00004876,1,NaN,NaN,NaN,NaN
WBGene00004878,1,NaN,NaN,NaN,NaN
WBGene00004879,1,NaN,NaN,NaN,NaN
WBGene00004880,1,NaN,NaN,NaN,NaN
WBGene00004881,1,NaN,NaN,NaN,NaN
WBGene00004882,1,NaN,NaN,NaN,NaN
WBGene00004883,NaN,1,NaN,NaN,NaN
WBGene00004884,1,NaN,NaN,NaN,NaN
WBGene00004885,NaN,1,NaN,NaN,NaN
WBGene00004886,1,NaN,NaN,NaN,NaN
WBGene00004887,1,NaN,NaN,NaN,NaN
WBGene00004888,1,NaN,NaN,NaN,NaN
WBGene00004889,1,NaN,NaN,NaN,NaN
WBGene00004890,1,NaN,NaN,NaN,NaN
WBGene00004892,1,NaN,NaN,NaN,NaN
WBGene00004894,1,NaN,NaN,NaN,NaN
WBGene00004895,1,NaN,NaN,NaN,NaN
WBGene00004896,1,NaN,NaN,NaN,NaN
WBGene00004897,1,NaN,NaN,NaN,NaN
WBGene00004900,1,NaN,NaN,NaN,NaN
WBGene00004901,1,NaN,NaN,NaN,NaN
WBGene00004902,1,NaN,NaN,NaN,NaN
WBGene00004904,1,NaN,NaN,NaN,NaN
WBGene00004905,1,NaN,NaN,NaN,NaN
WBGene00004906,1,NaN,NaN,NaN,NaN
WBGene00004908,1,NaN,NaN,NaN,1
WBGene00004909,1,NaN,NaN,NaN,NaN
WBGene00004910,1,NaN,NaN,NaN,NaN
WBGene00004912,1,NaN,NaN,NaN,NaN
WBGene00004913,1,NaN,NaN,NaN,NaN
WBGene00004914,1,NaN,NaN,NaN,NaN
WBGene00004915,1,NaN,NaN,NaN,NaN
WBGene00004916,1,NaN,NaN,NaN,NaN
WBGene00004917,1,NaN,NaN,NaN,NaN
WBGene00004918,1,NaN,NaN,NaN,NaN
WBGene00004919,1,NaN,NaN,NaN,NaN
WBGene00004920,1,NaN,NaN,NaN,NaN
WBGene00004925,1,NaN,NaN,NaN,NaN
WBGene00004926,1,NaN,NaN,NaN,NaN
WBGene00004927,1,NaN,NaN,NaN,NaN
WBGene00004928,NaN,1,NaN,NaN,NaN
WBGene00004929,1,NaN,NaN,NaN,NaN
WBGene00004930,1,NaN,NaN,NaN,NaN
WBGene00004931,1,NaN,NaN,NaN,NaN
WBGene00004932,1,NaN,NaN,NaN,NaN
WBGene00004933,1,NaN,NaN,NaN,NaN
WBGene00004944,1,NaN,NaN,NaN,NaN
WBGene00004945,NaN,1,NaN,NaN,NaN
WBGene00004946,1,NaN,NaN,NaN,NaN
WBGene00004947,1,NaN,NaN,NaN,NaN
WBGene00004951,1,NaN,NaN,NaN,NaN
WBGene00004952,1,NaN,NaN,NaN,NaN
WBGene00004953,NaN,1,NaN,NaN,NaN
WBGene00004954,NaN,1,NaN,NaN,NaN
WBGene00004955,NaN,1,NaN,NaN,NaN
WBGene00004958,1,NaN,NaN,NaN,NaN
WBGene00004959,1,NaN,NaN,NaN,NaN
WBGene00004960,1,NaN,NaN,NaN,NaN
WBGene00004962,1,NaN,NaN,NaN,NaN
WBGene00004963,1,NaN,NaN,NaN,NaN
WBGene00004964,1,NaN,NaN,NaN,NaN
WBGene00004965,NaN,1,NaN,NaN,NaN
WBGene00004966,NaN,1,NaN,NaN,NaN
WBGene00004969,1,NaN,NaN,NaN,NaN
WBGene00004971,NaN,1,NaN,NaN,NaN
WBGene00004972,1,NaN,NaN,NaN,NaN
WBGene00004973,NaN,1,NaN,NaN,NaN
WBGene00004975,1,NaN,NaN,NaN,NaN
WBGene00004976,1,NaN,NaN,NaN,1
WBGene00004978,1,NaN,NaN,NaN,NaN
WBGene00004979,1,NaN,NaN,NaN,NaN
WBGene00004980,1,NaN,NaN,NaN,NaN
WBGene00004981,1,NaN,NaN,NaN,NaN
WBGene00004984,1,NaN,NaN,NaN,NaN
WBGene00004985,1,NaN,NaN,NaN,NaN
WBGene00004993,1,NaN,NaN,NaN,NaN
WBGene00005006,1,NaN,NaN,NaN,NaN
WBGene00005007,1,NaN,NaN,NaN,NaN
WBGene00005008,NaN,1,NaN,NaN,NaN
WBGene00005009,1,NaN,NaN,NaN,NaN
WBGene00005010,1,NaN,NaN,NaN,NaN
WBGene00005011,NaN,1,NaN,NaN,NaN
WBGene00005012,NaN,1,NaN,NaN,NaN
WBGene00005013,1,NaN,NaN,NaN,NaN
WBGene00005014,1,NaN,NaN,NaN,NaN
WBGene00005015,1,NaN,NaN,NaN,NaN
WBGene00005019,1,NaN,NaN,NaN,NaN
WBGene00005020,1,NaN,NaN,NaN,NaN
WBGene00005021,1,NaN,NaN,NaN,NaN
WBGene00005022,1,NaN,NaN,NaN,NaN
WBGene00005023,1,NaN,NaN,NaN,NaN
WBGene00005024,1,NaN,NaN,NaN,NaN
WBGene00005025,1,NaN,NaN,NaN,NaN
WBGene00005026,1,NaN,NaN,NaN,NaN
WBGene00005040,1,NaN,NaN,NaN,NaN
WBGene00005054,NaN,1,NaN,NaN,NaN
WBGene00005059,NaN,1,NaN,NaN,NaN
WBGene00005061,1,NaN,NaN,NaN,NaN
WBGene00005077,1,NaN,NaN,NaN,NaN
WBGene00005078,1,NaN,NaN,NaN,NaN
WBGene00005079,1,NaN,NaN,NaN,NaN
WBGene00005081,NaN,1,NaN,NaN,NaN
WBGene00005098,1,NaN,NaN,NaN,NaN
WBGene00005120,NaN,1,NaN,NaN,NaN
WBGene00005147,NaN,1,NaN,NaN,NaN
WBGene00005153,1,NaN,NaN,NaN,NaN
WBGene00005168,1,NaN,NaN,NaN,NaN
WBGene00005187,1,NaN,NaN,NaN,NaN
WBGene00005188,1,NaN,NaN,NaN,NaN
WBGene00005191,1,NaN,NaN,NaN,NaN
WBGene00005197,1,NaN,NaN,NaN,NaN
WBGene00005210,NaN,1,NaN,NaN,NaN
WBGene00005219,NaN,1,NaN,NaN,NaN
WBGene00005226,NaN,1,NaN,NaN,NaN
WBGene00005229,NaN,1,NaN,NaN,NaN
WBGene00005234,NaN,1,NaN,NaN,NaN
WBGene00005241,NaN,1,NaN,NaN,NaN
WBGene00005253,NaN,1,NaN,NaN,NaN
WBGene00005254,NaN,1,NaN,NaN,NaN
WBGene00005256,NaN,1,NaN,NaN,NaN
WBGene00005260,NaN,1,NaN,NaN,NaN
WBGene00005262,1,NaN,NaN,NaN,NaN
WBGene00005267,1,NaN,NaN,NaN,NaN
WBGene00005271,1,NaN,NaN,NaN,NaN
WBGene00005293,1,NaN,NaN,NaN,NaN
WBGene00005297,1,NaN,NaN,NaN,NaN
WBGene00005308,1,NaN,NaN,NaN,NaN
WBGene00005346,1,NaN,NaN,NaN,NaN
WBGene00005361,1,NaN,NaN,NaN,NaN
WBGene00005387,1,NaN,NaN,NaN,NaN
WBGene00005400,1,NaN,NaN,NaN,NaN
WBGene00005422,1,NaN,NaN,NaN,NaN
WBGene00005423,1,NaN,NaN,NaN,NaN
WBGene00005427,1,NaN,NaN,NaN,NaN
WBGene00005440,NaN,1,NaN,NaN,NaN
WBGene00005447,NaN,1,NaN,NaN,NaN
WBGene00005490,NaN,1,NaN,NaN,NaN
WBGene00005517,NaN,1,NaN,NaN,NaN
WBGene00005528,1,NaN,NaN,NaN,NaN
WBGene00005530,1,NaN,NaN,NaN,NaN
WBGene00005543,1,NaN,NaN,NaN,NaN
WBGene00005579,1,NaN,NaN,NaN,NaN
WBGene00005597,1,NaN,NaN,NaN,NaN
WBGene00005610,NaN,1,NaN,NaN,NaN
WBGene00005638,NaN,1,NaN,NaN,NaN
WBGene00005641,1,NaN,NaN,NaN,NaN
WBGene00005643,1,NaN,NaN,NaN,NaN
WBGene00005647,1,NaN,NaN,NaN,NaN
WBGene00005648,1,NaN,NaN,NaN,NaN
WBGene00005662,1,NaN,NaN,NaN,NaN
WBGene00005663,1,NaN,NaN,NaN,NaN
WBGene00005681,NaN,1,NaN,NaN,NaN
WBGene00005683,NaN,1,NaN,NaN,NaN
WBGene00005707,NaN,1,NaN,NaN,NaN
WBGene00005712,1,NaN,NaN,NaN,NaN
WBGene00005713,NaN,1,NaN,NaN,NaN
WBGene00005718,1,NaN,NaN,NaN,NaN
WBGene00005725,NaN,1,NaN,NaN,1
WBGene00005726,NaN,1,NaN,NaN,NaN
WBGene00005813,NaN,1,NaN,NaN,NaN
WBGene00005841,NaN,1,NaN,NaN,NaN
WBGene00005842,NaN,1,NaN,NaN,NaN
WBGene00005884,NaN,1,NaN,NaN,NaN
WBGene00005898,1,NaN,NaN,NaN,NaN
WBGene00005904,1,NaN,NaN,NaN,NaN
WBGene00005920,1,NaN,NaN,NaN,NaN
WBGene00005931,1,NaN,NaN,NaN,NaN
WBGene00005968,NaN,1,NaN,NaN,NaN
WBGene00005983,NaN,1,NaN,NaN,NaN
WBGene00005987,NaN,1,NaN,NaN,NaN
WBGene00005989,NaN,1,NaN,NaN,NaN
WBGene00006010,NaN,1,NaN,NaN,NaN
WBGene00006016,NaN,1,NaN,NaN,NaN
WBGene00006039,1,NaN,NaN,NaN,NaN
WBGene00006044,1,NaN,NaN,NaN,1
WBGene00006047,1,NaN,NaN,NaN,NaN
WBGene00006048,1,NaN,NaN,NaN,NaN
WBGene00006049,1,NaN,NaN,NaN,NaN
WBGene00006050,1,NaN,NaN,NaN,NaN
WBGene00006051,1,NaN,NaN,NaN,NaN
WBGene00006052,1,NaN,NaN,NaN,NaN
WBGene00006053,1,NaN,NaN,NaN,NaN
WBGene00006055,1,NaN,NaN,NaN,NaN
WBGene00006056,NaN,1,NaN,NaN,NaN
WBGene00006057,NaN,1,NaN,NaN,NaN
WBGene00006058,NaN,1,NaN,NaN,NaN
WBGene00006059,1,NaN,NaN,NaN,NaN
WBGene00006061,1,NaN,NaN,NaN,NaN
WBGene00006062,1,NaN,NaN,NaN,NaN
WBGene00006063,1,NaN,NaN,NaN,NaN
WBGene00006066,1,NaN,NaN,NaN,NaN
WBGene00006076,1,NaN,NaN,NaN,NaN
WBGene00006102,1,NaN,NaN,NaN,NaN
WBGene00006130,1,NaN,NaN,NaN,NaN
WBGene00006149,1,NaN,NaN,NaN,NaN
WBGene00006155,1,NaN,NaN,NaN,NaN
WBGene00006189,1,NaN,NaN,NaN,NaN
WBGene00006209,1,NaN,NaN,NaN,NaN
WBGene00006214,1,NaN,NaN,NaN,NaN
WBGene00006216,1,NaN,NaN,NaN,NaN
WBGene00006231,1,NaN,NaN,NaN,NaN
WBGene00006241,1,NaN,NaN,NaN,NaN
WBGene00006244,1,NaN,NaN,NaN,NaN
WBGene00006247,NaN,1,NaN,NaN,NaN
WBGene00006256,1,NaN,NaN,NaN,NaN
WBGene00006258,1,NaN,NaN,NaN,NaN
WBGene00006266,NaN,1,NaN,NaN,NaN
WBGene00006268,1,NaN,NaN,NaN,NaN
WBGene00006307,1,NaN,NaN,NaN,NaN
WBGene00006309,1,NaN,NaN,NaN,NaN
WBGene00006311,NaN,1,NaN,NaN,NaN
WBGene00006324,1,NaN,NaN,NaN,NaN
WBGene00006331,1,NaN,NaN,NaN,NaN
WBGene00006342,1,NaN,NaN,NaN,NaN
WBGene00006349,1,NaN,NaN,NaN,NaN
WBGene00006352,1,NaN,NaN,NaN,NaN
WBGene00006353,NaN,1,NaN,NaN,NaN
WBGene00006359,1,NaN,NaN,NaN,NaN
WBGene00006364,1,NaN,NaN,NaN,NaN
WBGene00006367,1,NaN,NaN,NaN,NaN
WBGene00006369,1,NaN,NaN,NaN,NaN
WBGene00006371,1,NaN,NaN,NaN,NaN
WBGene00006372,1,NaN,NaN,NaN,NaN
WBGene00006373,1,NaN,NaN,NaN,NaN
WBGene00006374,1,NaN,NaN,NaN,NaN
WBGene00006375,NaN,1,NaN,NaN,NaN
WBGene00006376,NaN,1,NaN,NaN,NaN
WBGene00006377,NaN,1,NaN,NaN,NaN
WBGene00006379,NaN,1,NaN,NaN,NaN
WBGene00006380,1,NaN,NaN,NaN,NaN
WBGene00006381,NaN,1,NaN,NaN,NaN
WBGene00006382,1,NaN,NaN,NaN,NaN
WBGene00006383,1,NaN,NaN,NaN,NaN
WBGene00006384,1,NaN,NaN,NaN,NaN
WBGene00006385,1,NaN,NaN,NaN,NaN
WBGene00006386,1,NaN,NaN,NaN,NaN
WBGene00006387,1,NaN,NaN,NaN,NaN
WBGene00006388,1,NaN,NaN,NaN,NaN
WBGene00006389,1,NaN,NaN,NaN,NaN
WBGene00006390,1,NaN,NaN,NaN,NaN
WBGene00006391,1,NaN,NaN,NaN,NaN
WBGene00006392,1,NaN,NaN,NaN,NaN
WBGene00006393,1,NaN,NaN,NaN,NaN
WBGene00006394,1,NaN,NaN,NaN,NaN
WBGene00006395,1,NaN,NaN,NaN,NaN
WBGene00006396,1,NaN,NaN,NaN,NaN
WBGene00006397,1,NaN,NaN,NaN,NaN
WBGene00006402,1,NaN,NaN,NaN,NaN
WBGene00006406,1,NaN,NaN,NaN,NaN
WBGene00006409,1,NaN,NaN,NaN,NaN
WBGene00006410,1,NaN,NaN,NaN,NaN
WBGene00006411,1,NaN,NaN,NaN,NaN
WBGene00006412,1,NaN,NaN,NaN,NaN
WBGene00006414,1,NaN,NaN,NaN,NaN
WBGene00006415,1,NaN,NaN,NaN,NaN
WBGene00006416,1,NaN,NaN,NaN,NaN
WBGene00006423,1,NaN,NaN,NaN,NaN
WBGene00006428,1,NaN,NaN,NaN,NaN
WBGene00006429,NaN,NaN,1,NaN,NaN
WBGene00006430,NaN,1,NaN,NaN,NaN
WBGene00006431,1,NaN,NaN,NaN,NaN
WBGene00006432,1,NaN,NaN,NaN,NaN
WBGene00006433,1,NaN,NaN,NaN,NaN
WBGene00006434,1,NaN,NaN,NaN,NaN
WBGene00006435,1,NaN,NaN,NaN,NaN
WBGene00006436,1,NaN,NaN,NaN,1
WBGene00006437,1,NaN,NaN,NaN,NaN
WBGene00006438,1,NaN,NaN,NaN,NaN
WBGene00006439,1,NaN,NaN,NaN,NaN
WBGene00006440,NaN,1,NaN,NaN,NaN
WBGene00006441,1,NaN,NaN,NaN,1
WBGene00006442,1,NaN,NaN,NaN,NaN
WBGene00006443,1,NaN,NaN,NaN,NaN
WBGene00006445,1,NaN,NaN,NaN,NaN
WBGene00006446,1,NaN,NaN,NaN,NaN
WBGene00006447,1,NaN,NaN,NaN,NaN
WBGene00006448,1,NaN,NaN,NaN,NaN
WBGene00006449,1,NaN,NaN,NaN,NaN
WBGene00006450,1,NaN,NaN,NaN,NaN
WBGene00006460,1,NaN,NaN,NaN,NaN
WBGene00006461,1,NaN,NaN,NaN,NaN
WBGene00006462,1,NaN,NaN,NaN,NaN
WBGene00006463,1,NaN,NaN,NaN,NaN
WBGene00006464,NaN,1,NaN,NaN,NaN
WBGene00006465,1,NaN,NaN,NaN,NaN
WBGene00006466,NaN,1,NaN,NaN,NaN
WBGene00006467,1,NaN,NaN,NaN,NaN
WBGene00006473,1,NaN,NaN,NaN,NaN
WBGene00006474,1,NaN,NaN,NaN,NaN
WBGene00006476,1,NaN,NaN,NaN,NaN
WBGene00006477,1,NaN,NaN,NaN,NaN
WBGene00006478,1,NaN,NaN,NaN,NaN
WBGene00006479,1,NaN,NaN,NaN,NaN
WBGene00006481,1,NaN,NaN,NaN,NaN
WBGene00006483,1,NaN,NaN,NaN,NaN
WBGene00006484,1,NaN,NaN,NaN,NaN
WBGene00006486,1,NaN,NaN,NaN,NaN
WBGene00006487,1,NaN,NaN,NaN,NaN
WBGene00006489,1,NaN,NaN,NaN,NaN
WBGene00006490,1,NaN,NaN,NaN,NaN
WBGene00006491,1,NaN,NaN,NaN,NaN
WBGene00006492,1,NaN,NaN,NaN,NaN
WBGene00006493,1,NaN,NaN,NaN,NaN
WBGene00006494,1,NaN,NaN,NaN,NaN
WBGene00006495,1,NaN,NaN,NaN,NaN
WBGene00006496,1,NaN,NaN,NaN,NaN
WBGene00006497,1,NaN,NaN,NaN,NaN
WBGene00006498,1,NaN,NaN,NaN,NaN
WBGene00006499,1,NaN,NaN,NaN,NaN
WBGene00006503,1,NaN,NaN,NaN,NaN
WBGene00006504,1,NaN,NaN,NaN,NaN
WBGene00006509,1,NaN,NaN,NaN,NaN
WBGene00006510,1,NaN,NaN,NaN,NaN
WBGene00006512,1,NaN,NaN,NaN,NaN
WBGene00006513,1,NaN,NaN,NaN,NaN
WBGene00006514,1,NaN,NaN,NaN,NaN
WBGene00006515,1,NaN,NaN,NaN,NaN
WBGene00006516,1,NaN,NaN,NaN,NaN
WBGene00006517,1,NaN,NaN,NaN,NaN
WBGene00006518,1,NaN,NaN,NaN,NaN
WBGene00006519,1,NaN,NaN,NaN,NaN
WBGene00006520,1,NaN,NaN,NaN,NaN
WBGene00006522,1,NaN,NaN,NaN,NaN
WBGene00006523,1,NaN,NaN,NaN,NaN
WBGene00006524,1,NaN,NaN,NaN,NaN
WBGene00006527,1,NaN,NaN,NaN,NaN
WBGene00006528,1,NaN,NaN,NaN,NaN
WBGene00006529,1,NaN,NaN,NaN,NaN
WBGene00006531,1,NaN,NaN,NaN,NaN
WBGene00006532,1,NaN,NaN,NaN,NaN
WBGene00006536,1,NaN,NaN,NaN,NaN
WBGene00006537,1,NaN,NaN,NaN,NaN
WBGene00006540,1,NaN,NaN,NaN,NaN
WBGene00006542,1,NaN,NaN,NaN,NaN
WBGene00006545,NaN,1,NaN,NaN,NaN
WBGene00006546,NaN,1,NaN,NaN,NaN
WBGene00006547,1,NaN,NaN,NaN,NaN
WBGene00006550,NaN,NaN,1,NaN,NaN
WBGene00006552,NaN,1,NaN,NaN,NaN
WBGene00006555,NaN,NaN,1,NaN,NaN
WBGene00006557,NaN,1,NaN,NaN,NaN
WBGene00006561,NaN,1,NaN,NaN,NaN
WBGene00006562,1,NaN,NaN,NaN,NaN
WBGene00006563,1,NaN,NaN,NaN,NaN
WBGene00006565,1,NaN,NaN,NaN,NaN
WBGene00006566,1,NaN,NaN,NaN,NaN
WBGene00006567,1,NaN,NaN,NaN,NaN
WBGene00006568,1,NaN,NaN,NaN,NaN
WBGene00006570,1,NaN,NaN,NaN,NaN
WBGene00006571,1,NaN,NaN,NaN,NaN
WBGene00006572,1,NaN,NaN,NaN,NaN
WBGene00006573,1,NaN,NaN,NaN,NaN
WBGene00006574,1,NaN,NaN,NaN,NaN
WBGene00006575,1,NaN,NaN,NaN,NaN
WBGene00006577,1,NaN,NaN,NaN,NaN
WBGene00006578,1,NaN,NaN,NaN,NaN
WBGene00006580,1,NaN,NaN,NaN,NaN
WBGene00006582,1,NaN,NaN,NaN,NaN
WBGene00006588,1,NaN,NaN,NaN,NaN
WBGene00006590,1,NaN,NaN,NaN,NaN
WBGene00006591,1,NaN,NaN,NaN,NaN
WBGene00006592,1,NaN,NaN,NaN,NaN
WBGene00006593,1,NaN,NaN,NaN,NaN
WBGene00006594,1,NaN,NaN,NaN,NaN
WBGene00006595,1,NaN,NaN,NaN,NaN
WBGene00006596,1,NaN,NaN,NaN,NaN
WBGene00006599,1,NaN,NaN,NaN,NaN
WBGene00006601,1,NaN,NaN,NaN,NaN
WBGene00006602,1,NaN,NaN,NaN,NaN
WBGene00006603,1,NaN,NaN,NaN,NaN
WBGene00006604,1,NaN,NaN,NaN,NaN
WBGene00006605,NaN,1,NaN,NaN,NaN
WBGene00006606,1,NaN,NaN,NaN,NaN
WBGene00006607,1,NaN,NaN,NaN,NaN
WBGene00006608,1,NaN,NaN,NaN,NaN
WBGene00006609,1,NaN,NaN,NaN,NaN
WBGene00006613,1,NaN,NaN,NaN,NaN
WBGene00006617,1,NaN,NaN,NaN,NaN
WBGene00006619,1,NaN,NaN,NaN,NaN
WBGene00006620,1,NaN,NaN,NaN,NaN
WBGene00006623,1,NaN,NaN,NaN,NaN
WBGene00006624,NaN,1,NaN,NaN,NaN
WBGene00006625,1,NaN,NaN,NaN,NaN
WBGene00006626,1,NaN,NaN,NaN,NaN
WBGene00006627,1,NaN,NaN,NaN,NaN
WBGene00006629,1,NaN,NaN,NaN,NaN
WBGene00006633,1,NaN,NaN,NaN,NaN
WBGene00006635,1,NaN,NaN,NaN,NaN
WBGene00006638,1,NaN,NaN,NaN,NaN
WBGene00006639,1,NaN,NaN,NaN,NaN
WBGene00006640,1,NaN,NaN,NaN,NaN
WBGene00006644,NaN,1,NaN,NaN,NaN
WBGene00006646,1,NaN,NaN,NaN,NaN
WBGene00006647,1,NaN,NaN,NaN,NaN
WBGene00006648,1,NaN,NaN,NaN,NaN
WBGene00006649,1,NaN,NaN,NaN,NaN
WBGene00006652,1,NaN,NaN,NaN,NaN
WBGene00006655,1,NaN,NaN,NaN,NaN
WBGene00006661,1,NaN,NaN,NaN,NaN
WBGene00006662,1,NaN,NaN,NaN,NaN
WBGene00006666,1,NaN,NaN,NaN,NaN
WBGene00006669,1,NaN,NaN,NaN,NaN
WBGene00006670,1,NaN,NaN,NaN,NaN
WBGene00006674,1,NaN,NaN,NaN,NaN
WBGene00006675,1,NaN,NaN,NaN,NaN
WBGene00006677,1,NaN,NaN,NaN,NaN
